PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
0,79880621,0.0,0.0,0.0, 
1,79897288,-4.997345923999999,-3.2987413410000004,6.276892185, 
2,79913955,-4.860229015,-2.85650301,5.83831501, 
3,79930622,-4.415419579,-2.575200796,5.33245039, 
4,79947289,-4.558330058999999,-2.9558279510000003,5.380980015, 
5,79963956,-4.934263706,-3.140785694,5.319851398, 
6,79980623,-5.3714094160000005,-3.219695091,4.60662508, 
7,79997290,-6.52381897,-3.798145771,4.636417866, 
8,80013957,-7.641298771000001,-4.723728657,4.875648022, 
9,80030624,-8.53912735,-5.472981452999999,5.49006319, 
10,80047291,-8.995962143,-5.829439162999999,5.423314095, 
11,80063958,-9.162506104,-5.5725402829999995,4.731411934, 
12,80080625,-9.291511536,-5.494677544,3.5422034260000004, 
13,80097292,-9.721270561,-5.7588396070000005,2.315829992, 
14,80113959,-10.20639229,-6.392419338,1.786467552, 
15,80130626,-10.47183418,-8.070571898999999,2.204207897, 
16,80147293,-10.325372699999999,-9.355493546,2.974361897, 
17,80163960,-10.02550411,-9.474924088,3.490928411, 
18,80180627,-9.618292809,-8.240716934,3.3255541319999997, 
19,80197294,-9.400822639,-6.324151992999999,3.000908375, 
20,80213961,-9.347088814,-4.760345936,2.814810038, 
21,80230628,-9.375198364,-3.681887627,2.8325235839999996, 
22,80247295,-9.593851089,-2.92690134,2.8041586880000002, 
23,80263962,-9.613604546,-2.556372643,2.687403202, 
24,80280629,-9.589184761,-2.413002253,2.666946888, 
25,80297296,-9.207694054,-2.6939764019999997,2.4407575130000003, 
26,80313963,-8.692202567999999,-2.980537415,2.041245461, 
27,80330630,-8.552394867,-3.3674182889999997,1.8658394809999999, 
28,80347297,-8.420922279,-3.874846458,1.9302773480000002, 
29,80363964,-8.269365311,-3.92226553,2.267742872, 
30,80380631,-8.327876091,-3.268855095,2.441843033, 
31,80397298,-8.558791161,-2.694406033,2.564947605, 
32,80413965,-8.727409363,-2.535103798,2.684579849, 
33,80430632,-8.804310799,-2.57793808,2.586121559, 
34,80447299,-8.938774109,-2.376307487,2.507587194, 
35,80463966,-8.903966903999999,-2.074125528,2.437521458, 
36,80480633,-8.916130066000001,-1.88591814,2.436747551, 
37,80497300,-8.958849907000001,-1.78516531,2.408480167, 
38,80513967,-8.997375488,-1.848158002,2.480581045, 
39,80530634,-8.950450897,-2.1013169290000002,2.364685059, 
40,80547301,-9.128700256,-2.335361481,2.352118731, 
41,80563968,-9.287614822,-2.4835188390000003,2.466731787, 
42,80580635,-9.21622467,-2.499290943,2.479982138, 
43,80597302,-9.152861595,-2.340729713,2.49905014, 
44,80613969,-9.145468712000001,-2.298481226,2.505547523, 
45,80630636,-9.156106949,-2.15831399,2.4654948709999998, 
46,80647303,-9.243913651,-2.121059418,2.4728050230000003, 
47,80663970,-9.239386559,-2.143619061,2.528414488, 
48,80680637,-9.232214928,-1.970456362,2.584813833, 
49,80697304,-9.079163551,-1.8075360059999999,2.457594872, 
50,80713971,-8.93315506,-1.815884233,2.425592899, 
51,80730638,-9.076636314,-1.8908997769999998,2.499148607, 
52,80747305,-9.214189529,-2.104759216,2.589856625, 
53,80763972,-9.111358642999999,-2.283701181,2.633348227, 
54,80780639,-9.020131111,-2.220526695,2.648327351, 
55,80797306,-9.113195419,-2.108237267,2.730251312, 
56,80813973,-9.272150993,-1.993360639,2.8349633219999997, 
57,80830640,-9.40020752,-1.9002949,2.868434906, 
58,80847307,-9.289510727,-1.938338757,2.8804514410000004, 
59,80863974,-9.083399773,-1.9038933519999999,2.815817356, 
60,80880641,-9.004896164,-1.9511698480000002,2.839928865, 
61,80897308,-9.076743126,-1.916686296,2.835827112, 
62,80913975,-9.276265144,-1.763977289,2.8580043319999997, 
63,80930642,-9.352808952,-1.6481959819999998,2.8620851039999997, 
64,80947309,-9.216815947999999,-1.5990265609999998,2.8540265560000004, 
65,80963976,-9.123998642,-1.637008667,2.868350506, 
66,80980643,-9.172780991,-1.613512993,2.883185625, 
67,80997310,-9.306765556,-1.592191577,2.9175078869999997, 
68,81013977,-9.312421799,-1.532115221,2.9680886269999998, 
69,81030644,-9.21161747,-1.338562727,2.9684393410000003, 
70,81047311,-9.268353462,-1.216995597,3.058452368, 
