PacketCounter,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 11
0,0.0,0.0,0.0, 
1,-58.39060593,93.73600006,25.88157845, 
2,-74.59944153,98.11740112,33.77419662, 
3,-96.42601776,101.9972305,44.85261536, 
4,-124.8587112,103.756897,57.78173447, 
5,-151.9720917,104.8589554,69.76157379, 
6,-171.0354462,108.2230072,85.93741608, 
7,-185.2103882,106.3382263,104.6652222, 
8,-200.91304019999998,96.56365967,115.08408359999999, 
9,-209.94363399999997,83.24104309,121.22586059999999, 
10,-208.0842285,66.60282898,131.76850890000003, 
11,-201.4808502,49.42781448,144.4828339, 
12,-191.2963409,36.56208038,157.59371950000002, 
13,-178.3927612,28.47376442,166.5385132, 
14,-154.86004640000002,23.27332878,170.0385437, 
15,-116.19530490000001,16.75333786,161.77684019999998, 
16,-61.77746201,13.58074856,143.11322019999997, 
17,1.8600455519999999,13.902902599999999,120.5168152, 
18,53.83062363,13.98210144,96.91012573, 
19,74.71811676,12.41812038,74.82382202, 
20,64.65227509,6.599575043,54.80960464, 
21,34.97468948,-1.924343944,35.88095474, 
22,-4.092182636,-12.26686668,22.32433891, 
23,-41.80644989,-21.89298248,15.56323147, 
24,-70.62558746,-31.43272591,14.496016500000001, 
25,-90.66194153,-39.67388535,16.04981995, 
26,-101.6247635,-43.6788063,18.43227959, 
27,-100.9959183,-41.70697784,22.70398521, 
28,-87.06192017,-38.28304672,23.75170898, 
29,-59.991149899999996,-32.45272827,20.22208214, 
30,-34.24216843,-25.36894989,16.54293442, 
31,-19.63728523,-19.23981285,15.09253407, 
32,-12.36493587,-16.03233719,14.84685898, 
33,-6.951930523,-13.12565136,13.92275047, 
34,-1.19306004,-11.32485294,13.32587814, 
35,1.152726412,-10.26151562,14.53911495, 
36,-1.289978743,-10.1124382,16.87417984, 
37,-6.380884647,-10.35278034,19.18143654, 
38,-10.727873800000001,-11.21802521,21.30597687, 
39,-14.25993061,-10.98403168,22.24726868, 
40,-15.52067947,-9.667110443,21.77723312, 
41,-13.35313129,-8.842172623,20.58989334, 
42,-8.889139175,-7.481181622,18.64971352, 
43,-4.658629417,-5.638558865,17.10791969, 
44,-3.663336515,-4.209924698,15.34902191, 
45,-4.476334572,-2.5635895730000002,13.96571064, 
46,-4.059154986999999,-1.405549049,13.94057465, 
47,-2.512678146,-0.6260196570000001,13.21020794, 
48,-0.495100141,-0.820765793,13.16525555, 
49,-1.77784884,-1.409717321,13.61821556, 
50,-4.263486862,-1.291617513,13.98902702, 
51,-5.89285326,-1.120012164,13.91195965, 
52,-5.601686954,-1.614222407,13.72977448, 
