PacketCounter,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
0,0.0,0.0,0.0, 
1,-4.997345923999999,-3.2987413410000004,6.276892185, 
2,-4.860229015,-2.85650301,5.83831501, 
3,-4.415419579,-2.575200796,5.33245039, 
4,-4.558330058999999,-2.9558279510000003,5.380980015, 
5,-4.934263706,-3.140785694,5.319851398, 
6,-5.3714094160000005,-3.219695091,4.60662508, 
7,-6.52381897,-3.798145771,4.636417866, 
8,-7.641298771000001,-4.723728657,4.875648022, 
9,-8.53912735,-5.472981452999999,5.49006319, 
10,-8.995962143,-5.829439162999999,5.423314095, 
11,-9.162506104,-5.5725402829999995,4.731411934, 
12,-9.291511536,-5.494677544,3.5422034260000004, 
13,-9.721270561,-5.7588396070000005,2.315829992, 
14,-10.20639229,-6.392419338,1.786467552, 
15,-10.47183418,-8.070571898999999,2.204207897, 
16,-10.325372699999999,-9.355493546,2.974361897, 
17,-10.02550411,-9.474924088,3.490928411, 
18,-9.618292809,-8.240716934,3.3255541319999997, 
19,-9.400822639,-6.324151992999999,3.000908375, 
20,-9.347088814,-4.760345936,2.814810038, 
21,-9.375198364,-3.681887627,2.8325235839999996, 
22,-9.593851089,-2.92690134,2.8041586880000002, 
23,-9.613604546,-2.556372643,2.687403202, 
24,-9.589184761,-2.413002253,2.666946888, 
25,-9.207694054,-2.6939764019999997,2.4407575130000003, 
26,-8.692202567999999,-2.980537415,2.041245461, 
27,-8.552394867,-3.3674182889999997,1.8658394809999999, 
28,-8.420922279,-3.874846458,1.9302773480000002, 
29,-8.269365311,-3.92226553,2.267742872, 
30,-8.327876091,-3.268855095,2.441843033, 
31,-8.558791161,-2.694406033,2.564947605, 
32,-8.727409363,-2.535103798,2.684579849, 
33,-8.804310799,-2.57793808,2.586121559, 
34,-8.938774109,-2.376307487,2.507587194, 
35,-8.903966903999999,-2.074125528,2.437521458, 
36,-8.916130066000001,-1.88591814,2.436747551, 
37,-8.958849907000001,-1.78516531,2.408480167, 
38,-8.997375488,-1.848158002,2.480581045, 
39,-8.950450897,-2.1013169290000002,2.364685059, 
40,-9.128700256,-2.335361481,2.352118731, 
41,-9.287614822,-2.4835188390000003,2.466731787, 
42,-9.21622467,-2.499290943,2.479982138, 
43,-9.152861595,-2.340729713,2.49905014, 
44,-9.145468712000001,-2.298481226,2.505547523, 
45,-9.156106949,-2.15831399,2.4654948709999998, 
46,-9.243913651,-2.121059418,2.4728050230000003, 
47,-9.239386559,-2.143619061,2.528414488, 
48,-9.232214928,-1.970456362,2.584813833, 
49,-9.079163551,-1.8075360059999999,2.457594872, 
50,-8.93315506,-1.815884233,2.425592899, 
51,-9.076636314,-1.8908997769999998,2.499148607, 
52,-9.214189529,-2.104759216,2.589856625, 
