PacketCounter,Euler_X,Euler_Y,Euler_Z,Unnamed: 11
315,-15.84028816,37.82442856,-125.28163909999998, 
316,-15.70394039,37.8500061,-125.2970047, 
317,-15.39654922,37.92596436,-125.3172913, 
318,-15.008421900000002,37.99723816,-125.3559494, 
319,-14.74939251,38.15743256,-125.42107390000001, 
320,-14.68464184,38.206993100000005,-125.38751979999999, 
321,-14.78148746,38.13257217,-125.3875504, 
322,-14.96148491,38.07226563,-125.43624879999999, 
323,-15.32534504,37.99988937,-125.51054380000001, 
324,-15.94157982,37.80828857,-125.5828629, 
325,-16.74013138,37.50754547,-125.7116241, 
326,-17.58583832,37.15715027,-125.89092250000002, 
327,-18.50976753,36.79504395,-126.0994568, 
328,-19.580175399999998,36.46107101,-126.37698359999999, 
329,-20.68887329,36.19595337,-126.7674103, 
330,-21.64192772,36.06438446,-127.34697720000001, 
331,-22.29166222,36.17800903,-128.13948059999998, 
332,-22.72452164,36.53884506,-129.07733149999999, 
333,-23.01806068,37.14029312,-130.16053770000002, 
334,-23.16638565,38.00482178,-131.3811493, 
335,-23.17163849,39.13493347,-132.6838531, 
336,-23.13607407,40.48931503,-134.0960999, 
337,-23.18652534,42.08063507,-135.62432859999998, 
338,-23.45799065,43.86229324,-137.2581482, 
339,-24.03146744,45.81835556,-139.0045624, 
340,-24.91244888,47.90789413,-140.8597107, 
341,-26.09098244,50.064445500000005,-142.80546569999998, 
342,-27.51854324,52.20572662,-144.7849274, 
343,-29.05703545,54.25007248,-146.62115480000003, 
344,-30.689863199999998,56.14088058,-148.2024841, 
345,-32.52311325,57.87466049,-149.5313721, 
346,-34.68085479999999,59.50296402,-150.67976380000002, 
347,-37.13025284,61.12762451,-151.69418330000002, 
348,-39.675975799999996,62.86920929,-152.587738, 
349,-41.97242737,64.71562195,-153.31352230000002, 
350,-43.61828613,66.51783752,-153.8404083, 
351,-44.56337357,68.14580536,-154.3466644, 
352,-45.004673,69.48995972,-154.81918330000002, 
353,-44.63854599,70.45821381,-154.3166656, 
354,-43.97920609,71.13227081,-153.10150149999998, 
355,-43.52436829,71.45580292,-151.97686769999999, 
356,-43.03196716,71.51624298,-151.0309143, 
357,-42.25471115,71.29055023,-149.89030459999998, 
358,-41.41879654,70.76163483,-148.4930725, 
359,-40.55305862,69.92717743,-146.81327819999998, 
360,-39.25748825,68.93468475,-144.6988831, 
361,-37.74328995,67.76773071,-142.37768549999998, 
362,-36.34767914,66.27355194,-140.1200104, 
363,-35.13233566,64.39459991,-138.0359497, 
364,-34.07130432,62.15940094,-136.15605159999998, 
365,-33.17348862,59.70804596,-134.479126, 
366,-32.42225647,57.16836929,-133.0263062, 
367,-31.48471451,54.55527496,-131.7832947, 
368,-30.11489868,51.86330795,-130.71540829999998, 
369,-28.640728000000003,49.14063644,-129.8725433, 
370,-27.3392868,46.40516281,-129.1968994, 
371,-26.29509735,43.73259354,-128.69989009999998, 
372,-25.383045199999998,41.22012711,-128.4419861, 
373,-24.29559708,38.92635345,-128.3079376, 
374,-22.969762799999998,36.89598846,-128.2776642, 
375,-21.59057999,35.11050415,-128.30021670000002, 
376,-20.354702,33.61389923,-128.3457642, 
377,-19.22691536,32.44890594,-128.3986053, 
378,-18.06632233,31.57676697,-128.4193268, 
379,-16.95496559,30.9717598,-128.44610600000001, 
380,-16.03348732,30.6108799,-128.4712982, 
381,-15.28014278,30.44995308,-128.4591675, 
382,-14.61130619,30.45476532,-128.4515839, 
383,-14.02056217,30.53683281,-128.4362946, 
384,-13.59745407,30.65821648,-128.42254640000002, 
385,-13.32533169,30.80783463,-128.4195709, 
386,-13.16553211,30.950737,-128.438385, 
387,-12.98855114,31.11032295,-128.4472504, 
388,-12.75716114,31.26728439,-128.43434140000002, 
389,-12.53434086,31.41407585,-128.4109497, 
390,-12.38085651,31.550586699999997,-128.4232635, 
391,-12.24191856,31.71673584,-128.4646301, 
392,-12.08830929,31.90810966,-128.5148926, 
393,-11.95479107,32.11180878,-128.56274409999997, 
394,-11.8328867,32.30894089,-128.604126, 
395,-11.75566769,32.47060776,-128.6346588, 
396,-11.69697189,32.6181488,-128.6255798, 
397,-11.57611847,32.73666,-128.5727081, 
398,-11.460186,32.85928726,-128.4931946, 
399,-11.5666151,32.93322754,-128.408844, 
400,-11.95512486,32.86436462,-128.3970947, 
401,-12.33073902,32.79177856,-128.44778440000002, 
402,-12.58219242,32.73077393,-128.4982147, 
403,-12.89084625,32.54794693,-128.55050659999998, 
404,-13.41361523,32.25505447,-128.663208, 
